Date,Recovered,Cumulative Recovered,Imported Case,Local Case,Active Case,New Case,Cumulative Case,ICU,Ventilator,Death,Cumulative Death
27/3/2020,44,259,,,,130,2161,54,34,3,26
28/3/2020,61,320,,,,159,2320,73,54,1,27
29/3/2020,68,388,,,,150,2470,73,52,7,34
30/3/2020,91,479,,,,156,2626,94,62,3,37
31/3/2020,58,537,,,,140,2766,94,60,6,43
1/4/2020,108,645,,,,142,2908,102,66,2,45
2/4/2020,122,767,,,,208,3116,105,54,5,50
3/4/2020,60,827,,,,217,3333,108,54,3,53
4/4/2020,88,915,,,,150,3483,99,50,4,57
5/4/2020,90,1005,,,,179,3662,99,48,4,61
6/4/2020,236,1241,,,,131,3793,102,54,1,62
7/4/2020,80,1321,,,,170,3963,92,50,1,63
8/4/2020,166,1487,,,,156,4119,76,45,2,65
9/4/2020,121,1608,,,,109,4228,72,43,2,67
10/4/2020,222,1830,,,,118,4346,69,40,3,70
11/4/2020,165,1995,,,,184,4530,72,38,3,73
12/4/2020,113,2108,,,,153,4683,66,37,3,76
13/4/2020,168,2276,,,,134,4817,66,36,1,77
14/4/2020,202,2478,,,,170,4987,60,33,5,82
15/4/2020,169,2647,,,,85,5072,56,32,1,83
16/4/2020,119,2766,,,,110,5182,56,29,1,84
17/4/2020,201,2967,,,,69,5251,51,26,2,86
18/4/2020,135,3102,,,,54,5305,49,26,2,88
19/4/2020,95,3197,,,,84,5389,46,26,1,89
20/4/2020,98,3295,,,,36,5425,45,28,0,89
21/4/2020,54,3349,,,,57,5482,43,27,3,92
22/4/2020,103,3452,,,,50,5532,43,25,1,93
23/4/2020,90,3542,,,,71,5603,42,21,2,95
24/4/2020,121,3663,,,,88,5691,41,18,1,96
25/4/2020,99,3762,,,,51,5742,36,16,2,98
26/4/2020,100,3862,,,,38,5780,36,15,0,98
27/4/2020,95,3957,,,,40,5820,37,17,1,99
28/4/2020,75,4032,,,,31,5851,36,17,1,100
29/4/2020,55,4087,,,,94,5945,40,18,0,100
30/4/2020,84,4171,,,,57,6002,36,14,2,102
1/5/2020,39,4210,,,,69,6071,37,14,1,103
2/5/2020,116,4326,,,,105,6176,31,12,0,103
3/5/2020,87,4413,,,,122,6298,27,13,2,105
4/5/2020,71,4484,,,,55,6353,28,13,0,105
5/5/2020,83,4567,,,,30,6383,24,8,1,106
6/5/2020,135,4702,,,,45,6428,22,9,1,107
7/5/2020,74,4776,,,,39,6467,19,8,0,107
8/5/2020,88,4864,,,,68,6535,18,7,0,107
9/5/2020,65,4929,,,,54,6589,18,6,1,108
10/5/2020,96,5025,,,,67,6656,18,6,0,108
11/5/2020,88,5113,,,,70,6726,20,7,1,109
12/5/2020,110,5223,,,,16,6742,16,3,0,109
13/5/2020,58,5281,,,,37,6779,16,4,2,111
14/5/2020,70,5351,,,,40,6819,16,4,1,112
15/5/2020,88,5439,,,,36,6855,14,5,0,112
16/5/2020,73,5512,,,,17,6872,13,5,1,113
17/5/2020,59,5571,,,,22,6894,13,7,0,113
18/5/2020,44,5615,,,,47,6941,13,6,0,113
19/5/2020,31,5646,,,,37,6978,11,6,1,114
20/5/2020,60,5706,,,,31,7009,11,7,0,114
21/5/2020,90,5796,,,,50,7059,10,7,0,114
22/5/2020,63,5859,,,,78,7137,9,5,1,115
23/5/2020,53,5912,,,,48,7185,9,5,0,115
24/5/2020,33,5945,,,,60,7245,9,4,0,115
25/5/2020,34,5979,,,,172,7417,8,4,0,115
26/5/2020,62,6041,,,,187,7604,8,5,0,115
27/5/2020,42,6083,,,,15,7619,8,4,0,115
28/5/2020,86,6169,,,,10,7629,8,4,0,115
29/5/2020,66,6235,,,,103,7732,8,2,0,115
30/5/2020,95,6330,,,,30,7762,9,2,0,115
31/5/2020,23,6353,,,,57,7819,9,2,0,115
1/6/2020,51,6404,,,,38,7857,8,2,0,115
2/6/2020,66,6470,,,,20,7877,6,2,0,115
3/6/2020,61,6531,,,,93,7970,6,2,0,115
4/6/2020,28,6559,,,,277,8247,6,2,0,115
5/6/2020,51,6610,,,,19,8266,6,1,1,116
6/6/2020,25,6635,,,,37,8303,5,5,1,117
7/6/2020,39,6674,,,,19,8322,5,5,0,117
8/6/2020,20,6694,,,,7,8329,6,1,0,117
9/6/2020,281,6975,,,,7,8336,6,1,0,117
10/6/2020,39,7014,,,,2,8338,5,5,1,118
11/6/2020,51,7065,,,,31,8369,5,5,0,118
12/6/2020,103,7168,,,,33,8402,4,4,1,119
13/6/2020,143,7311,,,,43,8445,4,4,1,120
14/6/2020,35,7346,,,,8,8453,4,4,1,121
15/6/2020,54,7400,,,,41,8494,4,4,0,121
16/6/2020,333,7733,,,,11,8505,4,4,0,121
17/6/2020,140,7873,,,,10,8515,4,4,0,121
18/6/2020,127,8000,,,,14,8529,4,4,0,121
19/6/2020,70,8070,,,,6,8535,3,3,0,121
20/6/2020,76,8146,,,,21,8556,3,3,0,121
21/6/2020,10,8156,,,,16,8572,3,3,0,121
22/6/2020,21,8177,,,,15,8587,2,2,0,121
23/6/2020,9,8186,,,,3,8590,3,3,0,121
24/6/2020,45,8231,,,,6,8596,2,2,0,121
25/6/2020,40,8271,,,,4,8600,2,2,0,121
26/6/2020,23,8294,,,,6,8606,2,2,0,121
27/6/2020,14,8308,,,,10,8616,2,2,0,121
28/6/2020,10,8318,,,,18,8634,2,2,0,121
29/6/2020,16,8334,,,,3,8637,4,1,0,121
30/6/2020,20,8354,,,,2,8639,4,1,0,121
