Year,Deposit_interest_rate
1960,
1961,
1962,
1963,
1964,
1965,
1966,5
1967,5.083333333
1968,5.5
1969,5.5
1970,5.5
1971,5.5
1972,5
1973,5.416666667
1974,6.375
1975,5.708333333
1976,5.5
1977,5.208333333
1978,5.041666667
1979,5.5
1980,6.229166667
1981,9.6775
1982,9.75
1983,8.020833333
1984,9.5
1985,8.8125
1986,7.083333333
1987,3
1988,3.291666667
1989,4.561666667
1990,5.720833333
1991,7.110833333
1992,7.935
1993,7.025833333
1994,4.8925
1995,5.933333333
1996,7.085
1997,7.776666667
1998,8.513333333
1999,4.124166667
2000,3.3625
2001,3.374166667
2002,3.205
2003,3.066666667
2004,3
2005,3.001666667
2006,3.149166667
2007,3.165833333
2008,3.125833333
2009,2.081666667
2010,2.5025
2011,2.910833333
2012,2.980833333
2013,2.97
2014,3.048107787
2015,3.134487179
2016,3.02803563
2017,2.924518667
2018,3.143443722
2019,2.983390625
2020,1.954976736
